p cnf 150 150
9 -45 130 -27 0
58 -47 -98 -12 0
78 75 -112 -76 0
10 -89 -128 29 0
-52 6 13 -35 0
78 -143 25 -120 0
-139 -74 -32 98 0
58 -60 30 101 0
-67 125 -136 55 0
-78 143 -102 128 0
-8 -116 21 97 0
-137 -40 -37 51 0
144 -101 109 -19 0
-13 115 -92 -80 0
-147 75 133 -115 0
-140 4 137 -83 0
-131 103 47 85 0
-42 69 -8 -24 0
-115 -59 -12 -116 0
-77 18 -75 13 0
13 107 6 88 0
-76 -115 47 -85 0
-123 42 15 64 0
33 -128 -24 40 0
85 -49 -119 -108 0
45 12 10 -49 0
142 -106 -113 150 0
10 -108 6 -144 0
73 94 38 12 0
50 -106 82 -51 0
-21 66 -126 11 0
28 114 88 -2 0
19 47 12 -51 0
-101 12 -11 -89 0
-7 5 52 94 0
36 -69 -149 55 0
-17 -31 -72 -7 0
55 77 -63 -107 0
-69 42 18 -129 0
19 -46 97 6 0
141 -123 124 58 0
128 -32 -117 -74 0
-79 -145 -85 137 0
-128 -137 -143 119 0
104 52 -143 70 0
-8 -41 -63 -144 0
-105 -95 -93 77 0
-106 -131 19 -8 0
65 -74 46 -12 0
76 -61 -121 22 0
-104 114 108 19 0
-93 40 -25 -35 0
108 -39 1 120 0
-89 127 -143 146 0
-70 4 75 -42 0
-147 54 108 115 0
-8 91 47 53 0
-91 87 -125 17 0
-60 -33 17 -87 0
125 -6 85 -81 0
-30 -28 -25 -146 0
68 46 78 9 0
-69 -135 103 148 0
-135 17 -9 140 0
-119 -30 33 78 0
62 59 -150 -139 0
-90 -125 -38 -122 0
66 72 148 89 0
108 -81 -101 28 0
-149 124 99 -48 0
-134 83 105 -66 0
136 124 87 -111 0
-4 -45 117 52 0
-60 -56 100 -29 0
69 54 90 53 0
119 93 94 -105 0
-50 149 32 108 0
13 12 -117 119 0
109 12 68 91 0
64 139 121 55 0
-140 -136 -28 60 0
-97 123 36 55 0
2 122 -132 65 0
83 26 149 -138 0
140 59 -78 15 0
-48 -136 17 -84 0
-37 -84 92 -130 0
-117 66 -16 -128 0
-45 132 -38 -138 0
52 5 148 111 0
-12 -126 -87 25 0
32 -82 -25 119 0
68 89 83 19 0
-137 -140 120 -119 0
-105 -127 -141 54 0
-49 -2 41 107 0
-94 88 -50 -61 0
104 122 125 136 0
81 88 121 109 0
101 -108 20 31 0
48 74 44 104 0
-40 -16 32 -71 0
-3 -130 97 115 0
-145 14 73 53 0
-93 -77 147 -98 0
98 100 18 47 0
3 -14 33 -70 0
121 42 91 6 0
-52 4 -128 -11 0
-47 53 -72 -96 0
131 -65 -126 146 0
-76 -147 -71 4 0
-86 -87 89 -76 0
-42 -9 -83 116 0
-84 -47 55 -117 0
-77 -76 -105 60 0
67 128 -127 -125 0
-32 5 28 -121 0
31 -2 -131 -136 0
-69 73 34 53 0
87 129 104 -6 0
96 -150 -18 52 0
-96 -49 95 99 0
120 -76 47 -78 0
-8 50 30 60 0
-74 -67 -53 -83 0
-63 44 53 -72 0
13 -148 -27 -126 0
124 -19 119 -136 0
-93 -74 140 61 0
-146 73 30 -67 0
-39 47 -87 2 0
-115 -82 -30 -130 0
-35 -58 111 -124 0
42 -21 37 11 0
-139 84 -137 -117 0
150 -40 -102 -69 0
114 100 36 63 0
-5 -47 -55 -71 0
119 131 -18 28 0
-12 -27 22 -6 0
-34 -59 80 137 0
-59 39 13 113 0
38 73 -82 43 0
-60 -68 22 83 0
97 -47 10 -50 0
-14 97 -36 25 0
-88 27 41 -143 0
-145 52 48 132 0
-80 -59 -16 -1 0
